project,MERGES_BEFORE,MERGES_AFTER,total_merges,MERGE_EFFORT_BEFORE,MERGE_EFFORT_AFTER,ISSUES_BEFORE,ISSUES_AFTER,total_issues,TOTAL_TIME_BEFORE,TOTAL_TIME_AFTER,LOC_BEFORE,LOC_AFTER,QT_COMMIT_BEFORE,QT_COMMIT_AFTER,NUM_MERGES_PER_100_COMMITS_BEFORE,NUM_MERGES_PER_100_COMMITS_AFTER,AVERAGE_EFFORT_PER_MERGE_BEFORE,AVERAGE_EFFORT_PER_MERGE_AFTER,TOTAL_AVG_MERGE_EFFORT_IN_100_COMMITS_BEFORE,TOTAL_AVG_MERGE_EFFORT_IN_100_COMMITS_AFTER,AVG_K_LOC_PER_COMMIT_BEFORE,AVG_K_LOC_PER_COMMIT_AFTER,ISSUES_KLOC_IN_100_COMMITS_BEFORE,ISSUES_KLOC_IN_100_COMMITS_AFTER,AVG_TIME_PER_ISSUES_BEFORE,AVG_TIME_PER_ISSUES_AFTER,TOTAL_TIME_PER_KLOC_IN_100_COMMITS_BEFORE,TOTAL_TIME_PER_KLOC_IN_100_COMMITS_AFTER
nodegit/nodegit,17,27,44,277,4,157,569,732,10074,30914,309273882,1354867006,1626,1626,1.045510455104551,1.6605166051660516,16.294117647058822,0.14814814814814814,17.035670356703566,0.24600246002460022,190.20533948339482,833.2515412054121,0.05076406678272302,0.04199674192966509,64.1656050955414,54.33040421792619,3.2573070622238967,2.2816999648746337
koajs/examples,0,1,1,0,0,10,31,42,4,978,87987,136075,106,106,0.0,0.9433962264150944,0.0,0.0,0.0,0.0,0.830066037735849,1.2837264150943395,11.365315330673852,22.78155428991365,0.4,31.548387096774192,4.54612613226954,718.7212934043727
stripe/stripe-node,3,0,3,0,0,64,133,206,1631,3318,771892,2056973,337,337,0.8902077151335311,0.0,0.0,0.0,0.0,0.0,2.2904807121661723,6.103777448071217,8.291315365361992,6.465811656254117,25.484375,24.94736842105263,211.29899001414705,161.30498552970798
yeoman/generator-webapp,1,4,5,0,0,41,235,277,90,18750,1058978,1162700,685,685,0.145985401459854,0.583941605839416,0.0,0.0,0.0,0.0,1.545953284671533,1.6973722627737227,3.8716573904273743,20.211576502967233,2.1951219512195124,79.7872340425532,8.498760125328383,1612.6257848112152
conventional-changelog/commitlint,0,1,1,0,11,23,190,215,1461,11205,1003747,3914008,524,524,0.0,0.19083969465648856,0.0,11.0,0.0,2.099236641221374,1.915547709923664,7.469480916030534,2.291414071474186,4.854359009996914,63.52173913043478,58.973684210526315,145.55460688799073,286.27943530008116
sidorares/node-mysql2,13,10,23,0,0,156,314,490,5944,18968,4853495,36268123,773,773,1.6817593790426908,1.2936610608020698,0.0,0.0,0.0,0.0,6.278777490297542,46.91865847347995,3.214178648582104,0.8657740572899237,38.1025641025641,60.40764331210191,122.46844799469248,52.299370441640995
gemini-testing/gemini,2,0,2,0,0,87,236,348,2599,16712,6121654,13908509,802,802,0.24937655860349128,0.0,0.0,0.0,0.0,0.0,7.632985037406485,17.34228054862843,1.4211845360747273,1.69680301461501,29.873563218390803,70.8135593220339,42.45584608342777,120.15666093324597
lando/lando,40,77,117,29,12,128,281,433,1481,17505,172904450,162982141,754,754,5.305039787798409,10.212201591511937,0.725,0.15584415584415584,3.8461538461538463,1.5915119363395225,229.31624668435015,216.15668567639258,0.07402932660206259,0.17241152820541236,11.5703125,62.295373665480426,0.8565424429504273,10.740440573792682
box/Anemometer,1,13,14,0,138,18,49,78,399,7500,2390350,2616705,107,107,0.9345794392523364,12.149532710280374,0.0,10.615384615384615,0.0,128.97196261682242,22.339719626168222,24.45518691588785,0.7530277992762566,1.8725840322084453,22.166666666666668,153.0612244897959,16.69211621729036,286.6200049298641
ecomfe/echarts-gl,0,3,3,0,0,0,22,24,0,444,18981886,35459622,335,335,0.0,0.8955223880597015,0.0,0.0,0.0,0.0,56.66234626865671,105.84961791044778,0.0,0.06204239853431037,0.0,20.181818181818183,0.0,1.2521284067833547
skulpt/skulpt,59,98,157,185,1750,84,257,361,1907,36382,573079588,1040670644,1557,1557,3.7893384714193963,6.294155427103404,3.135593220338983,17.857142857142858,11.881824020552344,112.3956326268465,368.066530507386,668.3819165061014,0.014657649959781851,0.024695613495176096,22.702380952380953,141.56420233463035,0.3327635532536189,3.496014825608937
algorithm-visualizer/algorithm-visualizer,63,37,100,83296,22,26,23,52,3,34,2624467,6174745,624,624,10.096153846153847,5.92948717948718,1322.1587301587301,0.5945945945945946,13348.71794871795,3.525641025641026,4.205876602564103,9.89542467948718,0.9906773451523682,0.37248501759991703,0.11538461538461539,1.4782608695652173,0.11430892444065786,0.5506300260172687
zerobias/effector,1,3,4,0,0,1,0,1,0,0,1214392,1539610,176,176,0.5681818181818182,1.7045454545454546,0.0,0.0,0.0,0.0,6.899954545454546,8.747784090909091,0.08234573350285576,0.0,0.0,0.0,0.0,0.0
streamlink/streamlink-twitch-gui,24,51,75,10,197,90,220,314,579,12953,9385587,28983813,1027,1027,2.3369036027263874,4.965920155793573,0.4166666666666667,3.8627450980392157,0.9737098344693281,19.182083739045762,9.138838364167478,28.22182375851996,0.9589171140814101,0.7590443672818342,6.433333333333334,58.877272727272725,6.1690334339237385,44.69046222455272
tantaman/Strut,28,51,79,19,34,36,73,115,741,6463,32868295,39898348,679,679,4.123711340206185,7.511045655375552,0.6785714285714286,0.6666666666666666,2.7982326951399115,5.007363770250368,48.406914580265095,58.76045360824742,0.10952804214517364,0.1829649688754031,20.583333333333332,88.53424657534246,2.2544522008214907,16.1986656690648
kefirjs/kefir,77,73,150,0,0,20,88,114,123,4506,29629186,15204822,705,705,10.921985815602836,10.354609929078014,0.0,0.0,0.0,0.0,42.02721418439717,21.56712340425532,0.06750101065888209,0.5787637632324798,6.15,51.20454545454545,0.41513121555212484,29.635335421881294
fluture-js/Fluture,0,1,1,0,0,14,111,127,235,1787,1101651,3048175,388,388,0.0,0.25773195876288657,0.0,0.0,0.0,0.0,2.839306701030928,7.856121134020619,1.270819887605058,3.6415232065088126,16.785714285714285,16.0990990990991,21.331619541942047,58.62524297325449
reactjs/react-codemod,1,3,4,0,3,28,68,97,64,12576,265372,774228,108,108,0.9259259259259259,2.7777777777777777,0.0,1.0,0.0,2.7777777777777777,2.457148148148148,7.168777777777778,10.551226203216618,8.782942492392422,2.2857142857142856,184.94117647058823,24.117088464495126,1624.327717416575
matthewmueller/x-ray,1,5,6,0,0,22,81,131,813,42340,220886,171741,120,120,0.8333333333333334,4.166666666666667,0.0,0.0,0.0,0.0,1.8407166666666666,1.431175,9.959888811423086,47.16404353066536,36.95454545454545,522.716049382716,368.0631638039532,24653.402507263847
hackmdio/codimd,12,27,39,61,66,72,218,296,497,13387,101397122,22682758,836,836,1.4354066985645932,3.229665071770335,5.083333333333333,2.4444444444444446,7.296650717703349,7.894736842105264,121.28842344497608,27.132485645933016,0.07100793255256298,0.9610824221640065,6.902777777777778,61.408256880733944,0.490151978869775,59.0183962638053
php-amqplib/RabbitMqBundle,7,10,17,10,0,45,139,197,1516,106672,503118,1419475,321,321,2.1806853582554515,3.115264797507788,1.4285714285714286,0.0,3.115264797507788,0.0,1.5673457943925233,4.422040498442367,8.944223820256878,9.79235280649536,33.68888888888889,767.4244604316547,301.3209624779873,7514.8910688811
vyuldashev/laravel-queue-rabbitmq,2,9,11,0,5,43,44,89,2008,3531,70456,145842,157,157,1.2738853503184713,5.732484076433121,0.0,0.5555555555555556,0.0,3.184713375796178,0.4487643312101911,0.9289299363057326,61.03099806971727,30.169635633082372,46.69767441860465,80.25,2850.0056773021456,2421.11325955486
playframework/play1,67,79,146,1346,678,68,409,487,960,29878,561917946,763171492,3036,3036,2.206851119894598,2.6021080368906455,20.08955223880597,8.582278481012658,44.33465085638999,22.33201581027668,185.08496245059288,251.37400922266139,0.012101410977182068,0.05359214859142039,14.117647058823529,73.05134474327629,0.17084344908962917,3.9149785222847395
n1nj4sec/pupy,93,36,129,86,94,154,135,299,1416,8648,56359163,72373038,1147,1147,8.108108108108109,3.1386224934612033,0.9247311827956989,2.611111111111111,7.497820401046208,8.195292066259809,49.13614908456844,63.097679163034,0.27324749304740387,0.1865335541116845,9.194805194805195,64.05925925925926,2.5124574685397656,11.949201303391463
PeterDing/iScript,1,1,2,0,0,0,32,32,0,130,1089261,1858965,251,251,0.398406374501992,0.398406374501992,0.0,0.0,0.0,0.0,4.339685258964144,7.406235059760956,0.0,1.721387976642917,0.0,4.0625,0.0,6.993138655111849
arc298/instagram-scraper,4,1,5,0,1,23,97,122,416,616,34175,159018,117,117,3.4188034188034186,0.8547008547008547,0.0,1.0,0.0,0.8547008547008547,0.29209401709401706,1.3591282051282052,67.30065837600587,60.999383717566566,18.08695652173913,6.350515463917525,1217.2640819312364,387.37752958784534
