id;name;full_name;owner;private;html_url;description;fork;url;forks_url;keys_url;collaborators_url;teams_url;hooks_url;issue_events_url;events_url;assignees_url;branches_url;tags_url;blobs_url;git_tags_url;git_refs_url;trees_url;statuses_url;languages_url;stargazers_url;contributors_url;subscribers_url;subscription_url;commits_url;git_commits_url;comments_url;issue_comment_url;contents_url;compare_url;merges_url;archive_url;downloads_url;issues_url;pulls_url;milestones_url;notifications_url;labels_url;releases_url;deployments_url;created_at;updated_at;pushed_at;git_url;ssh_url;clone_url;svn_url;homepage;size;stargazers_count;watchers_count;language;has_issues;has_projects;has_downloads;has_wiki;has_pages;forks_count;mirror_url;open_issues_count;forks;open_issues;watchers;default_branch;score;id_gitsearch;dt_clone;cd_classe;git_commit1;git_commit2;git_commit3;git_commit4;git_commit5;git_commit6;git_commit7;git_commit8;git_commit9;git_commit10;dt_issues
21674470;app-galleries;devsunny/app-galleries;"NamedUser(login=""devsunny"")";False;https://github.com/devsunny/app-galleries;Galleries of Example Application;False;https://api.github.com/repos/devsunny/app-galleries;https://api.github.com/repos/devsunny/app-galleries/forks;https://api.github.com/repos/devsunny/app-galleries/keys{/key_id};https://api.github.com/repos/devsunny/app-galleries/collaborators{/collaborator};https://api.github.com/repos/devsunny/app-galleries/teams;https://api.github.com/repos/devsunny/app-galleries/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:20:12;;;;;;;29927;0;0;Java;;;;;;;;;;;;;;14;2018-05-12 15:11:42;;;;;;;;;;;;2018-07-16 23:37:36
21123000;PHP;leinue/PHP;"NamedUser(login=""leinue"")";False;https://github.com/leinue/PHP;phpexeercise;False;https://api.github.com/repos/leinue/PHP;https://api.github.com/repos/leinue/PHP/forks;https://api.github.com/repos/leinue/PHP/keys{/key_id};https://api.github.com/repos/leinue/PHP/collaborators{/collaborator};https://api.github.com/repos/leinue/PHP/teams;https://api.github.com/repos/leinue/PHP/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:20:18;;;;;;;172960;1;1;JavaScript;;;;;;;;;;;;;;14;2018-05-12 15:11:34;;;;;;;;;;;;2018-07-19 16:47:31
20896743;SOSGui;DMNSWT/SOSGui;"NamedUser(login=""DMNSWT"")";False;https://github.com/DMNSWT/SOSGui;HTML5/NODE.JS version for Science on a Sphere control.  Alternative to iPad software.;False;https://api.github.com/repos/DMNSWT/SOSGui;https://api.github.com/repos/DMNSWT/SOSGui/forks;https://api.github.com/repos/DMNSWT/SOSGui/keys{/key_id};https://api.github.com/repos/DMNSWT/SOSGui/collaborators{/collaborator};https://api.github.com/repos/DMNSWT/SOSGui/teams;https://api.github.com/repos/DMNSWT/SOSGui/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:20:23;;;;;;;8740;2;2;JavaScript;;;;;;;;;;;;;;14;2018-05-12 15:11:30;;;;;;;;;;;;2018-07-16 23:37:46
7031510;puma;dianping/puma;"NamedUser(login=""dianping"")";False;https://github.com/dianping/puma;;False;https://api.github.com/repos/dianping/puma;https://api.github.com/repos/dianping/puma/forks;https://api.github.com/repos/dianping/puma/keys{/key_id};https://api.github.com/repos/dianping/puma/collaborators{/collaborator};https://api.github.com/repos/dianping/puma/teams;https://api.github.com/repos/dianping/puma/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:20:41;;;;;;;26527;98;98;Java;;;;;;;;;;;;;;14;2018-05-12 15:26:00;;;;;;;;;;;;2018-07-16 23:39:10
5614312;findit-auth;dtulibrary/findit-auth;"NamedUser(login=""dtulibrary"")";False;https://github.com/dtulibrary/findit-auth;User database;False;https://api.github.com/repos/dtulibrary/findit-auth;https://api.github.com/repos/dtulibrary/findit-auth/forks;https://api.github.com/repos/dtulibrary/findit-auth/keys{/key_id};https://api.github.com/repos/dtulibrary/findit-auth/collaborators{/collaborator};https://api.github.com/repos/dtulibrary/findit-auth/teams;https://api.github.com/repos/dtulibrary/findit-auth/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:20:51;;;;;;;521;1;1;Ruby;;;;;;;;;;;;;;15;2018-05-12 15:22:26;;;;;;;;;;;;2018-07-16 23:39:26
5203368;toshokan;dtulibrary/toshokan;"NamedUser(login=""dtulibrary"")";False;https://github.com/dtulibrary/toshokan;DTU Digital Library search interface;False;https://api.github.com/repos/dtulibrary/toshokan;https://api.github.com/repos/dtulibrary/toshokan/forks;https://api.github.com/repos/dtulibrary/toshokan/keys{/key_id};https://api.github.com/repos/dtulibrary/toshokan/collaborators{/collaborator};https://api.github.com/repos/dtulibrary/toshokan/teams;https://api.github.com/repos/dtulibrary/toshokan/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:20:58;;;;;;;50801;8;8;Ruby;;;;;;;;;;;;;;15;2018-05-12 15:20:58;;;;;;;;;;;;2018-07-16 23:39:54
10391073;edx-platform;edx/edx-platform;"NamedUser(login=""edx"")";False;https://github.com/edx/edx-platform;The Open edX platform, the software that powers edX!;False;https://api.github.com/repos/edx/edx-platform;https://api.github.com/repos/edx/edx-platform/forks;https://api.github.com/repos/edx/edx-platform/keys{/key_id};https://api.github.com/repos/edx/edx-platform/collaborators{/collaborator};https://api.github.com/repos/edx/edx-platform/teams;https://api.github.com/repos/edx/edx-platform/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:23:33;;;;;;;904362;3631;3631;Python;;;;;;;;;;;;;;17;2018-05-12 15:05:25;;;;;;;;;;;;2018-07-17 07:29:04
1352520;kuma;mozilla/kuma;"NamedUser(login=""mozilla"")";False;https://github.com/mozilla/kuma;The project that powers MDN.;False;https://api.github.com/repos/mozilla/kuma;https://api.github.com/repos/mozilla/kuma/forks;https://api.github.com/repos/mozilla/kuma/keys{/key_id};https://api.github.com/repos/mozilla/kuma/collaborators{/collaborator};https://api.github.com/repos/mozilla/kuma/teams;https://api.github.com/repos/mozilla/kuma/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:24:11;;;;;;;203687;1227;1227;Python;;;;;;;;;;;;;;17;2018-05-12 15:09:59;;;;;;;;;;;;2018-07-17 09:41:15
125395935;waffle;benshanks/waffle;"NamedUser(login=""benshanks"")";False;https://github.com/benshanks/waffle;Waveform fitting package;False;https://api.github.com/repos/benshanks/waffle;https://api.github.com/repos/benshanks/waffle/forks;https://api.github.com/repos/benshanks/waffle/keys{/key_id};https://api.github.com/repos/benshanks/waffle/collaborators{/collaborator};https://api.github.com/repos/benshanks/waffle/teams;https://api.github.com/repos/benshanks/waffle/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:24:16;;;;;;;105;0;0;Python;;;;;;;;;;;;;;17;2018-05-12 15:09:21;;;;;;;;;;;;2018-07-19 16:47:34
30175039;ecommerce;edx/ecommerce;"NamedUser(login=""edx"")";False;https://github.com/edx/ecommerce;Service for managing edXs product catalog and handling orders for those products;False;https://api.github.com/repos/edx/ecommerce;https://api.github.com/repos/edx/ecommerce/forks;https://api.github.com/repos/edx/ecommerce/keys{/key_id};https://api.github.com/repos/edx/ecommerce/collaborators{/collaborator};https://api.github.com/repos/edx/ecommerce/teams;https://api.github.com/repos/edx/ecommerce/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:24:27;;;;;;;18000;67;67;Python;;;;;;;;;;;;;;17;2018-05-12 15:13:43;;;;;;;;;;;;2018-07-17 10:33:43
127966163;myedx;eliesmr4/myedx;"NamedUser(login=""eliesmr4"")";False;https://github.com/eliesmr4/myedx;;False;https://api.github.com/repos/eliesmr4/myedx;https://api.github.com/repos/eliesmr4/myedx/forks;https://api.github.com/repos/eliesmr4/myedx/keys{/key_id};https://api.github.com/repos/eliesmr4/myedx/collaborators{/collaborator};https://api.github.com/repos/eliesmr4/myedx/teams;https://api.github.com/repos/eliesmr4/myedx/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:26:16;;;;;;;764845;0;0;Python;;;;;;;;;;;;;;17;2018-05-12 15:09:49;;;;;;;;;;;;2018-07-19 16:47:38
16416867;addons-server;mozilla/addons-server;"NamedUser(login=""mozilla"")";False;https://github.com/mozilla/addons-server;;False;https://api.github.com/repos/mozilla/addons-server;https://api.github.com/repos/mozilla/addons-server/forks;https://api.github.com/repos/mozilla/addons-server/keys{/key_id};https://api.github.com/repos/mozilla/addons-server/collaborators{/collaborator};https://api.github.com/repos/mozilla/addons-server/teams;https://api.github.com/repos/mozilla/addons-server/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:27:46;;;;;;;854766;278;278;Python;;;;;;;;;;;;;;17;2018-05-12 15:10:38;;;;;;;;;;;;2018-07-17 19:05:14
45866355;course-discovery;edx/course-discovery;"NamedUser(login=""edx"")";False;https://github.com/edx/course-discovery;Service providing access to consolidated course and program metadata;False;https://api.github.com/repos/edx/course-discovery;https://api.github.com/repos/edx/course-discovery/forks;https://api.github.com/repos/edx/course-discovery/keys{/key_id};https://api.github.com/repos/edx/course-discovery/collaborators{/collaborator};https://api.github.com/repos/edx/course-discovery/teams;https://api.github.com/repos/edx/course-discovery/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:27:53;;;;;;;15220;14;14;Python;;;;;;;;;;;;;;17;2018-05-12 15:18:13;;;;;;;;;;;;2018-07-17 19:47:18
54648215;etools;unicef/etools;"NamedUser(login=""unicef"")";False;https://github.com/unicef/etools;;False;https://api.github.com/repos/unicef/etools;https://api.github.com/repos/unicef/etools/forks;https://api.github.com/repos/unicef/etools/keys{/key_id};https://api.github.com/repos/unicef/etools/collaborators{/collaborator};https://api.github.com/repos/unicef/etools/teams;https://api.github.com/repos/unicef/etools/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:28:31;;;;;;;94924;9;9;Python;;;;;;;;;;;;;;17;2018-05-12 15:21:39;;;;;;;;;;;;2018-07-17 20:36:52
126955945;native-edx;jerrybox/native-edx;"NamedUser(login=""jerrybox"")";False;https://github.com/jerrybox/native-edx;the edx documents of the open edx with native installation ;False;https://api.github.com/repos/jerrybox/native-edx;https://api.github.com/repos/jerrybox/native-edx/forks;https://api.github.com/repos/jerrybox/native-edx/keys{/key_id};https://api.github.com/repos/jerrybox/native-edx/collaborators{/collaborator};https://api.github.com/repos/jerrybox/native-edx/teams;https://api.github.com/repos/jerrybox/native-edx/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:28:37;;;;;;;42623;0;0;Python;;;;;;;;;;;;;;17;2018-05-12 15:09:39;;;;;;;;;;;;2018-07-19 16:52:57
10199599;osf.io;CenterForOpenScience/osf.io;"NamedUser(login=""CenterForOpenScience"")";False;https://github.com/CenterForOpenScience/osf.io;Facilitating Open Science;False;https://api.github.com/repos/CenterForOpenScience/osf.io;https://api.github.com/repos/CenterForOpenScience/osf.io/forks;https://api.github.com/repos/CenterForOpenScience/osf.io/keys{/key_id};https://api.github.com/repos/CenterForOpenScience/osf.io/collaborators{/collaborator};https://api.github.com/repos/CenterForOpenScience/osf.io/teams;https://api.github.com/repos/CenterForOpenScience/osf.io/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 10:30:49;;;;;;;168969;432;432;Python;;;;;;;;;;;;;;17;2018-05-12 15:05:07;;;;;;;;;;;;2018-07-18 00:22:55
