project,sha,merge_effort
microsoft/MixedRealityToolkit-Unity,20c6a6c202c92651dede785a641a3602092d726f,12228
microsoft/MixedRealityToolkit-Unity,70b3936666ad7f89baaf7632f6122d59f9d3e8cf,0
microsoft/MixedRealityToolkit-Unity,f13ddb7da40085f42013e3f2860b2fa9609347ce,0
microsoft/MixedRealityToolkit-Unity,27c8c63f19488c8f2d6972a033c42c50ca5a1c65,0
microsoft/MixedRealityToolkit-Unity,3c7b32ab599751e7dc408a6248c52fbc53a57a12,8
microsoft/MixedRealityToolkit-Unity,fdf486b33fd7f6a5f5809b5a103654ced4801b75,0
microsoft/MixedRealityToolkit-Unity,5999b2eda27c68c6b015a1ed399247e4febd2eb0,0
microsoft/MixedRealityToolkit-Unity,383bb718054130d207474ecd1abe661859f31a80,0
microsoft/MixedRealityToolkit-Unity,ecf2b30651626dba77cf4deea6699dab73c94cd0,0
microsoft/MixedRealityToolkit-Unity,ff8c5203521fc527cd2565afd4c9836c32e90305,0
microsoft/MixedRealityToolkit-Unity,6729a93bfc89d7b43897320645ee635faf540790,0
microsoft/MixedRealityToolkit-Unity,0eb5c1ce3aa12252c0f8dfb9790d2ca01bcf48e3,0
microsoft/MixedRealityToolkit-Unity,a8b2832a4ef91d2ea38d0d61bc43a4ddcdc9eee6,0
microsoft/MixedRealityToolkit-Unity,bc98c3510dc9e1d9abeb832db77837458524f6a4,0
microsoft/MixedRealityToolkit-Unity,cd2815f834e803d401a61cd99c17cc00f1e20fe5,11
microsoft/MixedRealityToolkit-Unity,4ff9658248c2c9b80b6f904081cdd4ee4f2bd26f,0
microsoft/MixedRealityToolkit-Unity,47a02b0abc3d32e5c10907c80448dc437d85b7f2,0
microsoft/MixedRealityToolkit-Unity,00565f38ee1e971a6874c39d7fcec93ecfcf3140,0
microsoft/MixedRealityToolkit-Unity,b7446894ea58622b05fb7d66f60a17e3e3b5ddb8,0
microsoft/MixedRealityToolkit-Unity,db5d153cea4b10c48517b881804d3b991baf85d2,0
microsoft/MixedRealityToolkit-Unity,026c6cdb5d07283a0231a91ccfdce518350a3897,0
microsoft/MixedRealityToolkit-Unity,7171a2a4f98cdc6bf3974b483253dc888cbcee68,0
microsoft/MixedRealityToolkit-Unity,4a8300912a29a5be32f5e6b797bc56217df8965c,0
microsoft/MixedRealityToolkit-Unity,194b5887000f737bfef03e15d3003d1d12f8979b,0
microsoft/MixedRealityToolkit-Unity,52ed922f559a660d8e927891eee02eefa2f40b31,0
microsoft/MixedRealityToolkit-Unity,72aa69b8a33f08ddd83c4f8b890fa9e2ea375969,0
microsoft/MixedRealityToolkit-Unity,7efcc4988a8b3a1af18b6b896a8b4d41bd308c10,2
microsoft/MixedRealityToolkit-Unity,098940f20ed467f914a0724fcae9c5a7355c75a1,0
microsoft/MixedRealityToolkit-Unity,e77f2ebee4d8fd62d22310519170897234844be5,0
microsoft/MixedRealityToolkit-Unity,8b5dd43e11976ca11772338f575b97735d3c5e97,0
microsoft/MixedRealityToolkit-Unity,6fadf323360d114427da3404c858d7f6e58e9ad4,0
microsoft/MixedRealityToolkit-Unity,f94d273b0ea4869ebb184d505445c402aca34ded,0
microsoft/MixedRealityToolkit-Unity,87052f6f8d906c388c90950c1ceb68d033ecd39b,0
microsoft/MixedRealityToolkit-Unity,2ac13fb6586dbcfc2f365273c4152b8310aa36da,0
microsoft/MixedRealityToolkit-Unity,e2884be3acab6902220f93f55fb58501b003e683,0
microsoft/MixedRealityToolkit-Unity,5803685ea09f5188c1a4d9abf926a446d73168bd,1846
microsoft/MixedRealityToolkit-Unity,e8f4d2b2500d44e2631f3bc73bcb7453250e3bf1,0
microsoft/MixedRealityToolkit-Unity,06fdb170ee4e5607db5ca2b5003252f61b45af2f,0
microsoft/MixedRealityToolkit-Unity,cef6d37be39aba84399cdfc4879ddf9022709ef3,0
microsoft/MixedRealityToolkit-Unity,ee460d42a6d579b0302813325d5c4b29e32639d1,0
microsoft/MixedRealityToolkit-Unity,83de88a3e3bcb48c5ce95fa7c7ff2d3fcfe64ec2,0
microsoft/MixedRealityToolkit-Unity,3c9d531e94733ab81ed93cd0615692fd0ae5a761,0
microsoft/MixedRealityToolkit-Unity,cf9fffa3cc1fefd9a3c5df4b6db5487f9d1b7bc3,6965
microsoft/MixedRealityToolkit-Unity,2f52fc1880cedac7f16dff037d0615273f612311,0
microsoft/MixedRealityToolkit-Unity,2beaaa7a1f338a6458106b1c9c74ec5266585688,0
microsoft/MixedRealityToolkit-Unity,ac3ef81bb7fa721c0b21c3ac6a57c9994b3863e1,0
microsoft/MixedRealityToolkit-Unity,885de609408144ec4293c7328d93a365d5377914,0
microsoft/MixedRealityToolkit-Unity,b1fff9367dcb69d7d462aec5d102bc1d3a86e64c,0
microsoft/MixedRealityToolkit-Unity,b3c30a40fb6b1c97ecef972fe1547842bd02f805,0
microsoft/MixedRealityToolkit-Unity,69313fdd4fe44caf0eb9ecc7aac10e68d9917b15,117
microsoft/MixedRealityToolkit-Unity,ddad5aa5402292b1911410564a030ddb4fde2f38,0
microsoft/MixedRealityToolkit-Unity,ce57125c96ca768f0194c3c9a44d3bd87fa161b8,0
microsoft/MixedRealityToolkit-Unity,d38f8b82d6cd4ca11d1500ef0c1ea8016f3cbba9,0
microsoft/MixedRealityToolkit-Unity,02369997ce422bddc97d570ac8fd846be7f285c5,0
microsoft/MixedRealityToolkit-Unity,0036c71537802650787f4b47b3ec2c4cdf38558c,0
microsoft/MixedRealityToolkit-Unity,52be4815a5513c4b0bab0c125a9338d20a18b593,0
microsoft/MixedRealityToolkit-Unity,3aba07ac00c512a60c7a436fdf71b87edcecf037,0
microsoft/MixedRealityToolkit-Unity,dd737d1ed19397a4fd7462f16de1f73daaecb6cf,0
microsoft/MixedRealityToolkit-Unity,6510e5ebd77d5b5b4845f0b90d1eba3ccd02424d,0
microsoft/MixedRealityToolkit-Unity,71021bd382f690dcd486eef232d3bf86ef29e870,13
microsoft/MixedRealityToolkit-Unity,f69ccd5d027b5d14d44195a0e6a967908482814a,931
